Unnamed: 0,Field_ID,Elevation,Latitude,Longitude,Location,Slope,Rainfall,Min_temperature_C,Max_temperature_C,Ave_temps,Soil_Fertility,Soil_Type,pH,Pollution_Level,Plot_Size,Chosen_Crop,Annual_Yield,Standard_Yield
25,25,411.52777,-10.980948,-5.8039074,Rural_Hawassa,6.410977,1736.7,-6.0,31.8,12.9,0.64,Silt,6.5517077,0.103263795,3.9,coffee,2.031877,0.52099407
26,26,623.1101,-7.3989224,-4.348917,Rural_Hawassa,13.914858,863.2,-4.9,31.8,13.45,0.6,Loamy,6.4462676,0.09438351,0.7,maize,0.46883515,0.66976446
27,27,480.47485,-1.6676806,-5.0110955,Rural_Kilimani,12.209677,283.9,-6.7,32.5,12.9,0.55,Loamy,5.055743,0.08937036,1.9,potato,1.1617172,0.6114301
28,28,633.6594,-7.9981794,-5.5111074,Rural_Hawassa,15.452159,1025.8,-4.6,34.2,14.8,0.62,Loamy,5.9507103,0.2896012,1.3,cassava,0.83390266,0.6414636
29,29,751.02295,-2.3029835,-0.5199946,Rural_Kilimani,30.967993,1427.9,-3.2,30.0,13.4,0.7,Volcanic,5.3794317,0.13592415,1.1,tea,0.7877546,0.71614057
30,30,802.6907,-3.6501856,-1.776782,Rural_Kilimani,0.26264387,1144.9,-3.0,32.6,14.8,0.58,Sandy,6.798528,0.52436495,7.6,coffee,1.9676033,0.25889516
31,31,662.55945,-8.637988,-4.4705415,Rural_Hawassa,27.022053,1310.3,-4.1,30.8,13.35,0.67,Volcanic,4.0131207,0.034670014,1.7,cassava,0.6210825,0.36534262
32,32,719.0935,-7.331337,-0.24971777,Rural_Sokoto,11.748457,1499.8,-3.4,30.2,13.4,0.64,Volcanic,5.722153,0.53066546,3.4,coffee,1.4705148,0.43250436
33,33,739.81934,-4.8982625,-1.3713667,Rural_Kilimani,1.4609573,1113.8,-3.6,30.9,13.65,0.58,Sandy,6.5415654,0.85861003,10.7,coffee,2.1226878,0.19838203
34,34,796.8511,-5.9120436,-7.7318826,Rural_Amanzi,4.805802,810.9,-3.4,29.0,12.8,0.57,Sandy,6.131833,0.39443177,2.1,wheat,1.0935248,0.52072614
35,35,741.92645,-2.4516714,-3.484031,Rural_Kilimani,23.074926,775.6,-3.9,31.0,13.55,0.62,Sandy,5.0529532,0.22419733,1.4,wheat,0.61868393,0.44191712
36,36,738.8039,-4.2043858,-2.6101358,Rural_Kilimani,5.756669,882.4,-3.7,31.9,14.1,0.58,Sandy,6.426581,0.35290408,3.8,maize,1.8802495,0.4948025
37,37,772.6048,-6.1148,0.12416523,Rural_Sokoto,3.2819307,1424.2,-2.9,30.4,13.75,0.61,Volcanic,4.0593605,0.97910696,11.2,tea,4.5261145,0.40411735
38,38,648.41595,-9.687815,-2.3173358,Rural_Hawassa,17.277632,1803.2,-3.8,31.1,13.65,0.68,Volcanic,5.285166,0.20021492,1.9,tea,1.6652925,0.87646973
39,39,582.8222,-10.638515,-9.425617,Rural_Akatsi,40.106525,2014.0,-4.2,32.2,14.0,0.77,Silt,6.077194,0.047743734,1.5,coffee,0.8239741,0.54931605
40,40,751.1485,-3.5375433,-7.164301,Rural_Kilimani,24.635284,554.3,-4.0,31.4,13.7,0.61,Sandy,5.644736,0.13916053,1.0,potato,0.63412225,0.63412225
41,41,724.4491,-4.411648,-2.3894095,Rural_Kilimani,28.368038,898.2,-3.9,31.5,13.8,0.65,Sandy,4.5638466,0.4166434,1.2,cassava,0.5315349,0.44294575
42,42,562.3899,-5.0199165,0.011549865,Rural_Kilimani,9.999543,1130.9,-5.2,32.0,13.4,0.61,Loamy,5.384661,0.78742206,4.1,banana,1.457131,0.35539782
43,43,430.90576,-0.74851924,-4.2633295,Rural_Kilimani,18.280817,350.1,-7.1,33.3,13.1,0.58,Loamy,5.3288145,0.008115636,0.6,potato,0.38675115,0.64458525
44,44,521.1839,-9.584184,-4.515588,Rural_Hawassa,3.958571,1488.3,-5.2,31.5,13.15,0.62,Silt,5.7649,0.010469184,11.7,cassava,5.8008986,0.49580333
45,45,352.63846,-12.666078,-8.249913,Rural_Akatsi,2.346471,1764.0,-6.5,31.8,12.65,0.63,Silt,7.403579,0.01249198,11.7,banana,4.24446,0.36277437
46,46,677.30115,-8.034225,-2.8578897,Rural_Hawassa,5.464015,1281.0,-4.0,29.9,12.95,0.61,Volcanic,4.789854,0.11196333,2.6,wheat,1.127113,0.43350503
47,47,882.97363,-11.071062,0.007045251,Rural_Sokoto,12.417085,2415.6,-1.1,30.3,14.6,0.71,Volcanic,4.931437,0.32137695,0.7,tea,0.4204194,0.60059917
48,48,348.04813,-14.328679,-7.5516977,Rural_Hawassa,1.674974,1311.5,-6.9,31.2,12.15,0.6,Peaty,5.341863,3.4082621e-09,8.2,banana,3.5286725,0.4303259
49,49,844.4794,-4.0692153,-5.339932,Rural_Kilimani,12.948396,591.3,-3.1,32.3,14.6,0.58,Rocky,5.8347993,0.2417279,1.0,maize,0.56280917,0.56280917
50,50,595.8842,-1.6496578,-4.335403,Rural_Kilimani,15.009357,497.7,-5.4,28.8,11.7,0.58,Loamy,5.2993855,0.047703948,1.4,potato,0.9603618,0.6859727
51,51,765.6368,-6.317556,-7.87603,Rural_Amanzi,2.4664052,888.6,-3.4,30.2,13.4,0.57,Sandy,5.668061,0.30755165,9.4,wheat,4.423846,0.47062185
52,52,323.5712,-11.652297,-6.0922027,Rural_Hawassa,1.6096522,1740.1,-6.7,32.3,12.8,0.63,Silt,7.1421947,0.008897736,14.9,banana,5.5032706,0.36934704
53,53,617.02545,-1.0729291,-3.0425787,Rural_Kilimani,15.53247,818.5,-4.9,30.9,13.0,0.6,Loamy,5.7859974,0.036579806,0.7,potato,0.4678153,0.66830754
54,54,791.6723,-8.381164,0.22777136,Rural_Sokoto,8.3316145,1839.2,-2.4,29.9,13.75,0.66,Volcanic,4.8461037,0.1314945,2.6,tea,2.1668856,0.8334176
55,55,699.857,-8.4802885,-0.5019762,Rural_Sokoto,28.39191,1716.0,-3.4,28.3,12.45,0.71,Volcanic,4.0262523,0.13089226,0.7,tea,0.515121,0.7358871
56,56,682.94977,-8.529852,1.1331989,Rural_Sokoto,7.440621,1785.3,-3.5,31.0,13.75,0.65,Volcanic,5.4808936,0.05461782,4.0,banana,2.330898,0.5827245
57,57,595.79346,-9.39945,-7.4616055,Rural_Akatsi,6.04603,1577.5,-4.5,31.8,13.65,0.63,Silt,7.3921623,0.052785084,2.8,wheat,1.3547792,0.48384976
58,58,818.9334,-2.0101132,-7.853507,Rural_Kilimani,11.042161,688.5,-3.2,29.7,13.25,0.58,Sandy,6.0108037,0.025986325,3.4,potato,2.110225,0.6206544
59,59,916.1268,-3.7583222,-3.8804371,Rural_Kilimani,4.922446,829.5,-2.2,29.6,13.7,0.57,Rocky,6.2361636,0.22060351,2.7,coffee,0.9503475,0.35198057
60,60,582.0468,-7.507059,-2.7677972,Rural_Hawassa,3.9680681,1043.2,-5.1,34.1,14.5,0.58,Loamy,4.9963946,0.2425188,6.6,cassava,3.795901,0.57513654
61,61,745.82074,-7.3989224,-0.23169932,Rural_Sokoto,2.0988882,1542.9,-3.1,29.2,13.05,0.62,Volcanic,5.285955,0.49567422,6.1,cassava,2.6021707,0.42658535
62,62,771.5087,-3.717771,-0.4434162,Rural_Kilimani,1.3962917,1348.3,-3.1,32.5,14.7,0.6,Volcanic,5.6037693,0.56026924,11.6,coffee,4.391092,0.3785424
63,63,719.2226,-6.9979157,0.13767907,Rural_Sokoto,5.20462,1474.6,-3.4,29.8,13.2,0.62,Volcanic,4.377725,0.67083544,2.4,tea,1.2921536,0.5383974
64,64,171.84935,-12.039786,-6.5877104,Rural_Hawassa,9.030433,1595.1,-8.3,33.9,12.8,0.64,Silt,5.751388,0.00086685887,2.6,banana,1.1405356,0.43866754
65,65,686.5819,-7.2502346,-4.3894587,Rural_Hawassa,2.0298278,882.8,-4.3,31.0,13.35,0.57,Sandy,5.9703903,0.10821145,8.7,potato,4.9327703,0.5669851
66,66,476.7244,-9.899582,-4.6011753,Rural_Hawassa,1.694283,1539.3,-5.6,31.8,13.1,0.61,Peaty,4.483647,0.024370486,13.2,cassava,4.4900813,0.3401577
67,67,785.53204,-4.4251647,-1.0515392,Rural_Kilimani,16.869127,1230.5,-3.0,30.2,13.6,0.64,Volcanic,4.837744,0.8222111,0.6,tea,0.2781791,0.46363187
68,68,509.11206,-10.552908,-9.110294,Rural_Akatsi,16.535124,1888.7,-5.1,31.9,13.4,0.69,Silt,5.973582,0.07335744,1.8,banana,1.0258037,0.5698909
69,69,620.59705,-7.2502346,-6.2048182,Rural_Hawassa,16.538836,786.7,-4.9,31.7,13.4,0.6,Loamy,5.982586,0.31679502,0.6,wheat,0.3917721,0.6529535
70,70,762.7562,-7.4890366,-0.48846233,Rural_Sokoto,9.095326,1553.8,-3.0,33.6,15.3,0.64,Volcanic,5.2756953,0.46342006,4.9,coffee,1.8819196,0.3840652
71,71,773.5328,-8.809204,-1.731736,Rural_Sokoto,27.875652,1751.5,-2.7,30.1,13.7,0.71,Volcanic,4.6273212,0.06707089,1.2,tea,0.9632341,0.8026951
72,72,930.2712,-1.0143552,-2.2362528,Rural_Kilimani,14.491566,1362.9,-1.6,27.7,13.05,0.64,Volcanic,4.9515967,0.031898778,2.0,tea,1.262307,0.6311535
73,73,675.9769,-6.448221,-5.6777782,Rural_Amanzi,18.36232,631.4,-4.5,31.5,13.5,0.6,Sandy,5.8885016,0.24537823,1.4,potato,0.82626295,0.59018785
74,74,617.25885,-6.7591143,-0.63261,Rural_Sokoto,16.628185,1248.6,-4.6,29.2,12.3,0.64,Silt,7.154305,0.7885843,1.6,wheat,0.60437715,0.3777357
75,75,817.772,-7.741355,-6.042652,Rural_Hawassa,18.877098,1141.9,-2.8,30.1,13.65,0.64,Sandy,4.9752445,0.38166878,0.6,cassava,0.30194,0.5032333
76,76,992.03107,-2.2804549,-8.015673,Rural_Kilimani,18.160603,894.3,-1.5,29.1,13.8,0.62,Sandy,6.2395563,0.02251263,0.9,maize,0.54475,0.6052777
77,77,391.2291,-11.296347,-7.141778,Rural_Hawassa,2.0215573,1792.9,-6.1,34.6,14.25,0.63,Silt,6.78212,0.021089837,6.2,wheat,3.161282,0.50988424
78,78,613.9286,-9.394944,-5.294886,Rural_Hawassa,27.32035,1505.2,-4.4,31.4,13.5,0.69,Silt,6.462603,0.04422972,0.9,coffee,0.40278432,0.44753814
79,79,379.6297,-10.949409,-7.470615,Rural_Hawassa,16.24993,1751.7,-6.2,33.6,13.7,0.67,Silt,6.767655,0.04263151,0.7,coffee,0.36418116,0.5202588
80,80,313.35202,-13.130164,-7.99315,Rural_Hawassa,9.925107,1632.6,-7.0,34.8,13.9,0.65,Silt,5.9713144,0.0005072231,3.0,banana,1.3569683,0.45232275
81,81,649.4853,-7.4259567,-4.2858524,Rural_Hawassa,2.0967288,904.0,-4.6,31.5,13.45,0.57,Sandy,5.7213006,0.089303,9.1,wheat,4.5096335,0.49556413
82,82,821.40936,-4.5783587,-3.2317727,Rural_Kilimani,7.4941998,824.2,-3.1,30.2,13.55,0.58,Sandy,5.4221206,0.22125627,2.2,wheat,1.0514808,0.4779458
83,83,859.7939,-3.1680765,-7.3895316,Rural_Kilimani,12.818676,689.4,-2.9,29.9,13.5,0.58,Rocky,5.5273213,0.09534967,1.5,potato,0.93003625,0.62002414
84,84,836.59076,-8.561391,-7.8850393,Rural_Akatsi,11.582341,1611.7,-2.1,32.5,15.2,0.65,Volcanic,4.7638426,0.09032392,3.7,tea,2.6974936,0.7290523
85,85,491.0968,-9.669792,-7.3534946,Rural_Akatsi,7.4907026,1543.7,-5.4,29.8,12.2,0.63,Silt,7.137014,0.041759346,2.8,banana,1.0160935,0.36289054
86,86,280.15732,-14.125922,-7.3895316,Rural_Hawassa,1.9359025,1315.0,-7.5,34.5,13.5,0.6,Peaty,5.7400856,1.3057358e-08,10.2,wheat,4.7054596,0.4613196
87,87,612.2517,-5.979629,-0.92090535,Rural_Sokoto,13.499028,1103.9,-4.7,32.1,13.7,0.62,Loamy,4.885614,0.9075771,0.6,cassava,0.28816405,0.48027343
88,88,924.58856,-4.055698,-3.4344802,Rural_Kilimani,33.84469,906.5,-2.1,29.9,13.9,0.67,Sandy,5.195892,0.24168992,1.4,cassava,0.8016002,0.5725716
89,89,633.529,-8.71909,-4.3173847,Rural_Hawassa,11.559444,1317.2,-4.3,32.4,14.05,0.63,Silt,7.3413124,0.020875901,4.8,wheat,2.5092413,0.5227586
90,90,353.59006,-11.494597,-5.9120183,Rural_Hawassa,4.587775,1750.7,-6.5,31.8,12.65,0.64,Silt,6.723156,0.01797739,3.0,wheat,1.5340866,0.5113622
91,91,732.4835,-1.9335166,-0.67315155,Rural_Kilimani,1.6870112,1424.5,-3.3,32.0,14.35,0.6,Volcanic,4.1728516,0.08501602,11.7,cassava,4.539184,0.38796443
92,92,829.52106,-4.0151467,-2.3804004,Rural_Kilimani,21.932148,1014.3,-2.9,28.7,12.9,0.64,Sandy,5.8574414,0.41967568,0.7,cassava,0.41112348,0.58731925
93,93,655.85065,-8.245993,1.2232912,Rural_Sokoto,7.400837,1681.2,-3.9,32.5,14.3,0.64,Volcanic,5.396765,0.06864942,4.1,coffee,2.2227287,0.5421289
94,94,416.72012,-0.5097175,-4.276843,Rural_Kilimani,5.3167024,329.7,-7.2,32.7,12.75,0.53,Loamy,5.7268853,0.004494402,2.9,wheat,1.8132428,0.6252562
95,95,746.04755,-5.6957703,-4.452523,Rural_Kilimani,8.467509,618.7,-4.0,30.8,13.4,0.57,Sandy,5.896998,0.2367902,2.5,potato,1.51004,0.604016
96,96,736.42505,-4.4026365,-1.8578651,Rural_Kilimani,1.5881828,1023.3,-3.7,29.7,13.0,0.57,Sandy,6.779464,0.6328037,10.9,wheat,4.6064405,0.42260924
97,97,302.21597,-11.300853,-6.6597843,Rural_Hawassa,17.876163,1687.1,-7.0,31.6,12.3,0.67,Silt,7.0944095,0.023282666,0.5,banana,0.17687175,0.3537435
98,98,696.76965,-8.124339,-4.2137785,Rural_Hawassa,20.277792,1183.7,-3.9,32.6,14.35,0.64,Sandy,4.783946,0.042090703,1.7,cassava,0.834535,0.49090296
99,99,588.9128,-1.487453,-3.1687078,Rural_Kilimani,33.429035,737.9,-5.3,28.8,11.75,0.65,Loamy,5.887902,0.08088208,0.5,potato,0.33013248,0.66026497
100,100,298.83093,-12.895868,-7.4390826,Rural_Hawassa,7.877552,1675.3,-7.0,30.2,11.6,0.64,Silt,5.8915606,0.000652441,4.0,banana,1.8286133,0.45715332
101,101,803.1073,-4.6234155,-1.7993052,Rural_Kilimani,6.11003,1099.1,-3.0,29.6,13.3,0.59,Sandy,5.453265,0.6912259,2.8,wheat,0.89317125,0.31898972
102,102,766.9124,-8.457761,-0.07403781,Rural_Sokoto,5.089196,1813.3,-2.7,31.6,14.45,0.64,Volcanic,5.516669,0.13208503,4.2,coffee,2.3228054,0.5530489
103,103,764.91223,-8.633482,-7.470615,Rural_Akatsi,7.811734,1499.8,-3.0,28.7,12.85,0.63,Volcanic,5.5573072,0.054139867,4.9,tea,3.500966,0.7144829
104,104,653.0269,-9.088557,-4.2002645,Rural_Hawassa,3.2587976,1473.5,-4.0,30.2,13.1,0.61,Volcanic,4.3178725,0.010010145,7.5,tea,5.6079288,0.7477238
105,105,493.92685,-7.0159388,-3.3263695,Rural_Hawassa,13.914721,741.2,-6.1,30.5,12.2,0.59,Loamy,6.1015487,0.19848815,1.4,maize,0.89229906,0.63735646
106,106,701.929,-1.6226237,-4.092154,Rural_Kilimani,14.844107,652.1,-4.3,27.9,11.8,0.59,Sandy,4.8672037,0.05085463,1.4,potato,0.8242426,0.5887447
107,107,309.08865,-11.354921,-6.344461,Rural_Hawassa,9.450017,1705.3,-6.8,35.1,14.15,0.65,Silt,6.3846807,0.02991481,3.7,banana,1.6495848,0.44583374
108,108,880.8183,-3.528532,-2.0876005,Rural_Kilimani,6.0475535,1166.2,-2.2,28.0,12.9,0.6,Rocky,4.682406,0.4581894,2.7,tea,1.0505509,0.38909295
109,109,861.0339,-8.070271,-0.4118839,Rural_Sokoto,6.7838545,1795.1,-1.8,29.4,13.8,0.65,Volcanic,5.7520895,0.22042547,4.9,coffee,2.6759043,0.54610294
110,110,946.13776,-3.848436,-2.2047205,Rural_Kilimani,17.933739,1193.1,-1.6,30.0,14.2,0.64,Sandy,4.564705,0.46103936,1.2,tea,0.45068526,0.37557104
111,111,686.5186,-5.9616065,-2.1011143,Rural_Hawassa,8.889999,969.6,-4.2,29.9,12.85,0.59,Sandy,6.58011,0.71051204,4.5,wheat,1.8544614,0.41210255
112,112,686.58636,-4.659461,-7.7544055,Rural_Kilimani,1.589896,577.6,-4.5,32.2,13.85,0.54,Sandy,5.127518,0.3592883,12.0,potato,6.9144626,0.5762052
113,113,725.2319,-10.075304,-0.33080083,Rural_Sokoto,7.690379,2119.0,-2.7,31.7,14.5,0.68,Volcanic,5.595795,0.3553482,2.9,coffee,1.7741256,0.6117674
114,114,402.8241,-12.229026,-5.520117,Rural_Hawassa,4.2763033,1825.3,-6.0,31.7,12.85,0.64,Silt,6.811037,0.00018508585,4.4,coffee,2.3131783,0.5257223
115,115,257.6999,-13.517653,-7.4300733,Rural_Hawassa,10.876599,1479.4,-7.6,33.2,12.8,0.64,Silt,6.841628,4.476807e-06,3.2,wheat,1.6303763,0.50949264
116,116,645.73584,-6.63746,-0.54702234,Rural_Sokoto,7.681616,1279.9,-4.2,29.8,12.8,0.61,Volcanic,4.0255976,0.83709276,4.6,cassava,1.2496506,0.2716632
117,117,553.8872,-5.925561,-3.366911,Rural_Hawassa,50.42178,592.8,-5.7,32.0,13.15,0.69,Loamy,4.778635,0.33199954,1.4,potato,0.83443815,0.59602726
118,118,712.7435,-6.0021577,-3.2813234,Rural_Hawassa,16.859617,783.3,-4.1,30.3,13.1,0.6,Sandy,5.5545096,0.39461708,1.8,maize,0.7560461,0.42002562
119,119,297.47983,-13.706893,-7.245384,Rural_Hawassa,13.342987,1461.1,-7.3,32.0,12.35,0.64,Silt,5.8856425,3.515162e-07,1.5,rice,0.93350905,0.62233937
120,120,491.11676,-11.503609,-9.258946,Rural_Akatsi,6.754676,1991.2,-5.0,29.5,12.25,0.66,Silt,6.09425,0.033337746,4.2,coffee,2.3784404,0.5662953
121,121,701.6231,-10.899846,-1.1191083,Rural_Sokoto,27.850641,2191.4,-2.8,31.6,14.4,0.74,Volcanic,4.6203127,0.24428256,1.3,banana,0.5857109,0.45054683
122,122,422.4572,-9.58869,-3.8894463,Rural_Hawassa,7.6105113,1416.7,-6.2,31.3,12.55,0.62,Silt,5.6890497,0.010737648,4.9,banana,2.0809324,0.42468008
123,123,943.8401,-4.0151467,-4.461532,Rural_Kilimani,4.264425,768.0,-2.0,28.3,13.15,0.56,Rocky,4.7162676,0.21046954,3.9,potato,2.080315,0.5334141
124,124,688.86383,-9.552644,0.2097529,Rural_Sokoto,4.608697,1994.9,-3.2,28.5,12.65,0.66,Volcanic,5.3637137,0.27263504,3.3,coffee,1.8630772,0.5645689
125,125,805.90674,-4.0782266,-5.2858768,Rural_Kilimani,7.0051475,553.3,-3.5,30.3,13.4,0.56,Sandy,5.4028916,0.24127012,3.8,wheat,1.8808942,0.49497217
126,126,734.8709,-7.5746446,-7.249889,Rural_Akatsi,11.562493,1128.0,-3.3,29.2,12.95,0.61,Sandy,5.361229,0.10159909,2.1,tea,1.1725739,0.5583685
127,127,872.0295,-4.6955066,-5.646246,Rural_Kilimani,18.462164,615.1,-2.8,27.9,12.55,0.6,Rocky,5.4854074,0.29471666,1.0,wheat,0.530974,0.530974
128,128,670.27094,-5.7363214,0.4530021,Rural_Sokoto,34.566906,1296.8,-4.0,30.1,13.05,0.7,Volcanic,3.7599893,0.8511512,1.5,rice,0.7088417,0.47256112
129,129,790.1966,-8.10181,-5.529126,Rural_Hawassa,11.7762985,1224.2,-3.0,32.2,14.6,0.62,Volcanic,4.7039413,0.29013002,0.9,tea,0.5778662,0.6420735
130,130,450.5463,-10.138384,-7.691341,Rural_Akatsi,9.593075,1657.4,-5.7,33.5,13.9,0.65,Silt,6.916885,0.045378447,3.9,coffee,1.8262258,0.46826303
131,131,591.0445,-6.772631,-0.45693004,Rural_Sokoto,45.430744,1244.5,-4.8,31.3,13.25,0.73,Silt,7.192233,0.7973653,1.1,wheat,0.4040158,0.3672871
132,132,389.18823,-11.4630575,-8.682356,Rural_Akatsi,4.5898123,1860.5,-6.1,33.2,13.55,0.65,Silt,6.360548,0.20611839,2.4,coffee,1.2983689,0.5409871
133,133,638.1526,-6.6059203,-5.993101,Rural_Amanzi,1.2405165,621.9,-4.9,34.0,14.55,0.54,Sandy,5.1161675,0.24496904,8.0,potato,4.6882405,0.58603007
134,134,832.37396,-8.295555,-0.3262962,Rural_Sokoto,6.718208,1824.7,-2.1,29.6,13.75,0.65,Volcanic,5.1299696,0.16095546,3.7,tea,2.9754944,0.80418766
135,135,636.47833,-7.4079337,-4.700277,Rural_Hawassa,9.991588,855.7,-4.7,29.7,12.5,0.59,Loamy,6.6060624,0.12160019,3.8,maize,2.5257688,0.66467595
136,136,663.3304,-8.610954,-4.37144,Rural_Hawassa,12.502428,1307.1,-4.1,29.8,12.85,0.63,Volcanic,3.730805,0.02775645,1.4,rice,0.91009676,0.6500691
137,137,918.62305,-1.8884597,-8.28595,Rural_Kilimani,2.7906396,846.4,-2.2,29.7,13.75,0.56,Rocky,5.028075,0.008702178,11.5,tea,5.165131,0.44914183
138,138,508.85446,-11.688342,-5.330923,Rural_Hawassa,5.3284287,1926.0,-4.9,31.3,13.2,0.65,Silt,6.75361,0.00319709,4.0,banana,2.0939193,0.5234798
139,139,572.0909,-8.674034,-6.835464,Rural_Akatsi,4.034355,1263.4,-4.9,27.3,11.2,0.6,Peaty,4.8415976,0.07014568,9.3,wheat,3.8181486,0.4105536
140,140,774.15686,-9.412968,0.2998452,Rural_Sokoto,7.4858975,2058.1,-2.4,28.5,13.05,0.67,Volcanic,5.4342766,0.22804631,4.7,banana,2.896921,0.61636615
141,141,597.66864,-9.084052,-1.2407329,Rural_Sokoto,2.0749989,1687.9,-4.4,33.5,14.55,0.63,Silt,7.3696117,0.066570625,8.7,coffee,3.12171,0.35881725
142,142,351.82404,-11.341404,-6.4345536,Rural_Hawassa,4.0580626,1722.4,-6.7,32.1,12.7,0.63,Silt,5.9875007,0.02855861,9.4,rice,5.72636,0.60918725
143,143,658.9591,-8.3451185,0.40795594,Rural_Sokoto,2.392869,1700.6,-3.8,28.2,12.2,0.63,Volcanic,4.25591,0.12600796,13.9,tea,11.003838,0.791643
