unnamed:_0,field_id,elevation,latitude,longitude,location,slope,rainfall,min_temperature_c,max_temperature_c,ave_temps,soil_fertility,soil_type,ph,pollution_level,plot_size,chosen_crop,annual_yield,standard_yield
65,65,686.5819,-7.2502346,-4.3894587,Rural_Hawassa,2.029827833175659,882.8,-4.3,31.0,13.350000381469727,0.57,Sandy,5.9703903,0.10821145,8.7,potato,4.932770252227783,0.5669851
66,66,476.7244,-9.899582,-4.6011753,Rural_Hawassa,1.6942830085754395,1539.3,-5.6,31.799999237060547,13.100000381469727,0.61,Peaty,4.483647,0.024370486,13.2,cassava,4.490081310272217,0.3401577
67,67,785.53204,-4.4251647,-1.0515392,Rural_Kilimani,16.86912727355957,1230.5,-3.0,30.200000762939453,13.600000381469727,0.64,Volcanic,4.837744,0.8222111,0.6,tea,0.2781791090965271,0.46363187
68,68,509.11206,-10.552908,-9.110294,Rural_Akatsi,16.535123825073242,1888.7,-5.1,31.899999618530273,13.399999618530273,0.69,Silt,5.973582,0.07335744,1.8,banana,1.0258036851882935,0.5698909
69,69,620.59705,-7.2502346,-6.2048182,Rural_Hawassa,16.538835525512695,786.7,-4.9,31.700000762939453,13.399999618530273,0.6,Loamy,5.982586,0.31679502,0.6,wheat,0.3917720913887024,0.6529535
70,70,762.7562,-7.4890366,-0.48846233,Rural_Sokoto,9.09532642364502,1553.8,-3.0,33.599998474121094,15.300000190734863,0.64,Volcanic,5.2756953,0.46342006,4.9,coffee,1.8819196224212646,0.3840652
71,71,773.5328,-8.809204,-1.731736,Rural_Sokoto,27.875652313232422,1751.5,-2.7,30.100000381469727,13.699999809265137,0.71,Volcanic,4.6273212,0.06707089,1.2,tea,0.9632341265678406,0.8026951
72,72,930.2712,-1.0143552,-2.2362528,Rural_Kilimani,14.491565704345703,1362.9,-1.6,27.700000762939453,13.050000190734863,0.64,Volcanic,4.9515967,0.031898778,2.0,tea,1.262307047843933,0.6311535
73,73,675.9769,-6.448221,-5.6777782,Rural_Amanzi,18.362319946289062,631.4,-4.5,31.5,13.5,0.6,Sandy,5.8885016,0.24537823,1.4,potato,0.8262629508972168,0.59018785
74,74,617.25885,-6.7591143,-0.63261,Rural_Sokoto,16.628185272216797,1248.6,-4.6,29.200000762939453,12.300000190734863,0.64,Silt,7.154305,0.7885843,1.6,wheat,0.6043771505355835,0.3777357
75,75,817.772,-7.741355,-6.042652,Rural_Hawassa,18.877098083496094,1141.9,-2.8,30.100000381469727,13.649999618530273,0.64,Sandy,4.9752445,0.38166878,0.6,cassava,0.301939994096756,0.5032333
76,76,992.03107,-2.2804549,-8.015673,Rural_Kilimani,18.160602569580078,894.3,-1.5,29.100000381469727,13.800000190734863,0.62,Sandy,6.2395563,0.02251263,0.9,maize,0.5447499752044678,0.6052777
77,77,391.2291,-11.296347,-7.141778,Rural_Hawassa,2.021557331085205,1792.9,-6.1,34.599998474121094,14.25,0.63,Silt,6.78212,0.021089837,6.2,wheat,3.1612820625305176,0.50988424
78,78,613.9286,-9.394944,-5.294886,Rural_Hawassa,27.320350646972656,1505.2,-4.4,31.399999618530273,13.5,0.69,Silt,6.462603,0.04422972,0.9,coffee,0.4027843177318573,0.44753814
79,79,379.6297,-10.949409,-7.470615,Rural_Hawassa,16.249929428100586,1751.7,-6.2,33.599998474121094,13.699999809265137,0.67,Silt,6.767655,0.04263151,0.7,coffee,0.36418116092681885,0.5202588
80,80,313.35202,-13.130164,-7.99315,Rural_Hawassa,9.9251070022583,1632.6,-7.0,34.79999923706055,13.899999618530273,0.65,Silt,5.9713144,0.0005072231,3.0,banana,1.3569682836532593,0.45232275
81,81,649.4853,-7.4259567,-4.2858524,Rural_Hawassa,2.096728801727295,904.0,-4.6,31.5,13.449999809265137,0.57,Sandy,5.7213006,0.089303,9.1,wheat,4.509633541107178,0.49556413
82,82,821.40936,-4.5783587,-3.2317727,Rural_Kilimani,7.494199752807617,824.2,-3.1,30.200000762939453,13.550000190734863,0.58,Sandy,5.4221206,0.22125627,2.2,wheat,1.051480770111084,0.4779458
83,83,859.7939,-3.1680765,-7.3895316,Rural_Kilimani,12.818675994873047,689.4,-2.9,29.899999618530273,13.5,0.58,Rocky,5.5273213,0.09534967,1.5,potato,0.9300362467765808,0.62002414
84,84,836.59076,-8.561391,-7.8850393,Rural_Akatsi,11.582341194152832,1611.7,-2.1,32.5,15.199999809265137,0.65,Volcanic,4.7638426,0.09032392,3.7,tea,2.697493553161621,0.7290523
85,85,491.0968,-9.669792,-7.3534946,Rural_Akatsi,7.4907026290893555,1543.7,-5.4,29.799999237060547,12.199999809265137,0.63,Silt,7.137014,0.041759346,2.8,banana,1.0160934925079346,0.36289054
86,86,280.15732,-14.125922,-7.3895316,Rural_Hawassa,1.93590247631073,1315.0,-7.5,34.5,13.5,0.6,Peaty,5.7400856,1.3057358e-08,10.2,wheat,4.7054595947265625,0.4613196
87,87,612.2517,-5.979629,-0.92090535,Rural_Sokoto,13.499028205871582,1103.9,-4.7,32.099998474121094,13.699999809265137,0.62,Loamy,4.885614,0.9075771,0.6,cassava,0.28816404938697815,0.48027343
88,88,924.58856,-4.055698,-3.4344802,Rural_Kilimani,33.844688415527344,906.5,-2.1,29.899999618530273,13.899999618530273,0.67,Sandy,5.195892,0.24168992,1.4,cassava,0.8016002178192139,0.5725716
89,89,633.529,-8.71909,-4.3173847,Rural_Hawassa,11.559444427490234,1317.2,-4.3,32.400001525878906,14.050000190734863,0.63,Silt,7.3413124,0.020875901,4.8,wheat,2.5092413425445557,0.5227586
90,90,353.59006,-11.494597,-5.9120183,Rural_Hawassa,4.587775230407715,1750.7,-6.5,31.799999237060547,12.649999618530273,0.64,Silt,6.723156,0.01797739,3.0,wheat,1.5340865850448608,0.5113622
91,91,732.4835,-1.9335166,-0.67315155,Rural_Kilimani,1.6870112419128418,1424.5,-3.3,32.0,14.350000381469727,0.6,Volcanic,4.1728516,0.08501602,11.7,cassava,4.539184093475342,0.38796443
92,92,829.52106,-4.0151467,-2.3804004,Rural_Kilimani,21.932147979736328,1014.3,-2.9,28.700000762939453,12.899999618530273,0.64,Sandy,5.8574414,0.41967568,0.7,cassava,0.41112348437309265,0.58731925
93,93,655.85065,-8.245993,1.2232912,Rural_Sokoto,7.400836944580078,1681.2,-3.9,32.5,14.300000190734863,0.64,Volcanic,5.396765,0.06864942,4.1,coffee,2.222728729248047,0.5421289
94,94,416.72012,-0.5097175,-4.276843,Rural_Kilimani,5.316702365875244,329.7,-7.2,32.70000076293945,12.75,0.53,Loamy,5.7268853,0.004494402,2.9,wheat,1.813242793083191,0.6252562
95,95,746.04755,-5.6957703,-4.452523,Rural_Kilimani,8.467509269714355,618.7,-4.0,30.799999237060547,13.399999618530273,0.57,Sandy,5.896998,0.2367902,2.5,potato,1.510040044784546,0.604016
96,96,736.42505,-4.4026365,-1.8578651,Rural_Kilimani,1.588182806968689,1023.3,-3.7,29.700000762939453,13.0,0.57,Sandy,6.779464,0.6328037,10.9,wheat,4.606440544128418,0.42260924
97,97,302.21597,-11.300853,-6.6597843,Rural_Hawassa,17.876163482666016,1687.1,-7.0,31.600000381469727,12.300000190734863,0.67,Silt,7.0944095,0.023282666,0.5,banana,0.17687174677848816,0.3537435
98,98,696.76965,-8.124339,-4.2137785,Rural_Hawassa,20.27779197692871,1183.7,-3.9,32.599998474121094,14.350000381469727,0.64,Sandy,4.783946,0.042090703,1.7,cassava,0.8345350027084351,0.49090296
99,99,588.9128,-1.487453,-3.1687078,Rural_Kilimani,33.42903518676758,737.9,-5.3,28.799999237060547,11.75,0.65,Loamy,5.887902,0.08088208,0.5,potato,0.33013248443603516,0.66026497
100,100,298.83093,-12.895868,-7.4390826,Rural_Hawassa,7.877552032470703,1675.3,-7.0,30.200000762939453,11.600000381469727,0.64,Silt,5.8915606,0.000652441,4.0,banana,1.82861328125,0.45715332
101,101,803.1073,-4.6234155,-1.7993052,Rural_Kilimani,6.110030174255371,1099.1,-3.0,29.600000381469727,13.300000190734863,0.59,Sandy,5.453265,0.6912259,2.8,wheat,0.8931712508201599,0.31898972
102,102,766.9124,-8.457761,-0.07403781,Rural_Sokoto,5.08919620513916,1813.3,-2.7,31.600000381469727,14.449999809265137,0.64,Volcanic,5.516669,0.13208503,4.2,coffee,2.322805404663086,0.5530489
103,103,764.91223,-8.633482,-7.470615,Rural_Akatsi,7.811734199523926,1499.8,-3.0,28.700000762939453,12.850000381469727,0.63,Volcanic,5.5573072,0.054139867,4.9,tea,3.5009660720825195,0.7144829
104,104,653.0269,-9.088557,-4.2002645,Rural_Hawassa,3.2587976455688477,1473.5,-4.0,30.200000762939453,13.100000381469727,0.61,Volcanic,4.3178725,0.010010145,7.5,tea,5.60792875289917,0.7477238
105,105,493.92685,-7.0159388,-3.3263695,Rural_Hawassa,13.91472053527832,741.2,-6.1,30.5,12.199999809265137,0.59,Loamy,6.1015487,0.19848815,1.4,maize,0.8922990560531616,0.63735646
106,106,701.929,-1.6226237,-4.092154,Rural_Kilimani,14.844106674194336,652.1,-4.3,27.899999618530273,11.800000190734863,0.59,Sandy,4.8672037,0.05085463,1.4,potato,0.8242425918579102,0.5887447
107,107,309.08865,-11.354921,-6.344461,Rural_Hawassa,9.450016975402832,1705.3,-6.8,35.099998474121094,14.149999618530273,0.65,Silt,6.3846807,0.02991481,3.7,banana,1.6495847702026367,0.44583374
108,108,880.8183,-3.528532,-2.0876005,Rural_Kilimani,6.047553539276123,1166.2,-2.2,28.0,12.899999618530273,0.6,Rocky,4.682406,0.4581894,2.7,tea,1.050550937652588,0.38909295
109,109,861.0339,-8.070271,-0.4118839,Rural_Sokoto,6.7838544845581055,1795.1,-1.8,29.399999618530273,13.800000190734863,0.65,Volcanic,5.7520895,0.22042547,4.9,coffee,2.6759042739868164,0.54610294
110,110,946.13776,-3.848436,-2.2047205,Rural_Kilimani,17.933738708496094,1193.1,-1.6,30.0,14.199999809265137,0.64,Sandy,4.564705,0.46103936,1.2,tea,0.4506852626800537,0.37557104
111,111,686.5186,-5.9616065,-2.1011143,Rural_Hawassa,8.889999389648438,969.6,-4.2,29.899999618530273,12.850000381469727,0.59,Sandy,6.58011,0.71051204,4.5,wheat,1.854461431503296,0.41210255
112,112,686.58636,-4.659461,-7.7544055,Rural_Kilimani,1.5898959636688232,577.6,-4.5,32.20000076293945,13.850000381469727,0.54,Sandy,5.127518,0.3592883,12.0,potato,6.914462566375732,0.5762052
113,113,725.2319,-10.075304,-0.33080083,Rural_Sokoto,7.6903791427612305,2119.0,-2.7,31.700000762939453,14.5,0.68,Volcanic,5.595795,0.3553482,2.9,coffee,1.774125576019287,0.6117674
114,114,402.8241,-12.229026,-5.520117,Rural_Hawassa,4.276303291320801,1825.3,-6.0,31.700000762939453,12.850000381469727,0.64,Silt,6.811037,0.00018508585,4.4,coffee,2.313178300857544,0.5257223
115,115,257.6999,-13.517653,-7.4300733,Rural_Hawassa,10.876599311828613,1479.4,-7.6,33.20000076293945,12.800000190734863,0.64,Silt,6.841628,4.476807e-06,3.2,wheat,1.6303763389587402,0.50949264
116,116,645.73584,-6.63746,-0.54702234,Rural_Sokoto,7.681615829467773,1279.9,-4.2,29.799999237060547,12.800000190734863,0.61,Volcanic,4.0255976,0.83709276,4.6,cassava,1.2496505975723267,0.2716632
117,117,553.8872,-5.925561,-3.366911,Rural_Hawassa,48.962159395217896,592.8,-5.7,32.0,13.149999618530273,0.69,Loamy,4.778635,0.33199954,1.4,potato,0.834438145160675,0.59602726
118,118,712.7435,-6.0021577,-3.2813234,Rural_Hawassa,16.859617233276367,783.3,-4.1,30.299999237060547,13.100000381469727,0.6,Sandy,5.5545096,0.39461708,1.8,maize,0.7560461163520813,0.42002562
119,119,297.47983,-13.706893,-7.245384,Rural_Hawassa,13.342987060546875,1461.1,-7.3,32.0,12.350000381469727,0.64,Silt,5.8856425,3.515162e-07,1.5,rice,0.9335090517997742,0.62233937
120,120,491.11676,-11.503609,-9.258946,Rural_Akatsi,6.75467586517334,1991.2,-5.0,29.5,12.25,0.66,Silt,6.09425,0.033337746,4.2,coffee,2.3784403800964355,0.5662953
121,121,701.6231,-10.899846,-1.1191083,Rural_Sokoto,27.85064125061035,2191.4,-2.8,31.600000381469727,14.399999618530273,0.74,Volcanic,4.6203127,0.24428256,1.3,banana,0.585710883140564,0.45054683
122,122,422.4572,-9.58869,-3.8894463,Rural_Hawassa,7.610511302947998,1416.7,-6.2,31.299999237060547,12.550000190734863,0.62,Silt,5.6890497,0.010737648,4.9,banana,2.080932378768921,0.42468008
123,123,943.8401,-4.0151467,-4.461532,Rural_Kilimani,4.264424800872803,768.0,-2.0,28.299999237060547,13.149999618530273,0.56,Rocky,4.7162676,0.21046954,3.9,potato,2.080315113067627,0.5334141
124,124,688.86383,-9.552644,0.2097529,Rural_Sokoto,4.608696937561035,1994.9,-3.2,28.5,12.649999618530273,0.66,Volcanic,5.3637137,0.27263504,3.3,coffee,1.863077163696289,0.5645689
125,125,805.90674,-4.0782266,-5.2858768,Rural_Kilimani,7.005147457122803,553.3,-3.5,30.299999237060547,13.399999618530273,0.56,Sandy,5.4028916,0.24127012,3.8,wheat,1.8808941841125488,0.49497217
126,126,734.8709,-7.5746446,-7.249889,Rural_Akatsi,11.562493324279785,1128.0,-3.3,29.200000762939453,12.949999809265137,0.61,Sandy,5.361229,0.10159909,2.1,tea,1.1725739240646362,0.5583685
127,127,872.0295,-4.6955066,-5.646246,Rural_Kilimani,18.4621639251709,615.1,-2.8,27.899999618530273,12.550000190734863,0.6,Rocky,5.4854074,0.29471666,1.0,wheat,0.5309739708900452,0.530974
128,128,670.27094,-5.7363214,0.4530021,Rural_Sokoto,34.5669059753418,1296.8,-4.0,30.100000381469727,13.050000190734863,0.7,Volcanic,3.7599893,0.8511512,1.5,rice,0.7088416814804077,0.47256112
