InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,revenue
537432,35833G,damages,-43,2010-12-06 16:10:00,0.0,,United Kingdom,-0.0
537449,21054,,-30,2010-12-07 09:26:00,0.0,,United Kingdom,-0.0
537450,20684,,-19,2010-12-07 09:26:00,0.0,,United Kingdom,-0.0
537451,84881,,-11,2010-12-07 09:27:00,0.0,,United Kingdom,-0.0
537452,20941,,-24,2010-12-07 09:28:00,0.0,,United Kingdom,-0.0
537453,21248,,-18,2010-12-07 09:28:00,0.0,,United Kingdom,-0.0
537454,21349,,-44,2010-12-07 09:30:00,0.0,,United Kingdom,-0.0
537455,22155,,-70,2010-12-07 09:31:00,0.0,,United Kingdom,-0.0
537466,21488,,-50,2010-12-07 10:33:00,0.0,,United Kingdom,-0.0
537687,84840,,-9,2010-12-08 10:26:00,0.0,,United Kingdom,-0.0
537870,21486,,-77,2010-12-08 17:08:00,0.0,,United Kingdom,-0.0
537999,22034,,-223,2010-12-09 11:44:00,0.0,,United Kingdom,-0.0
538042,21763,,-4,2010-12-09 13:10:00,0.0,,United Kingdom,-0.0
538043,22833,,-1,2010-12-09 13:10:00,0.0,,United Kingdom,-0.0
538046,85008,,-15,2010-12-09 13:12:00,0.0,,United Kingdom,-0.0
538047,21429,,-70,2010-12-09 13:13:00,0.0,,United Kingdom,-0.0
538054,85167B,,-24,2010-12-09 13:34:00,0.0,,United Kingdom,-0.0
538055,22454,,-20,2010-12-09 13:34:00,0.0,,United Kingdom,-0.0
538058,20966,,-150,2010-12-09 13:38:00,0.0,,United Kingdom,-0.0
538061,21801,,-38,2010-12-09 13:39:00,0.0,,United Kingdom,-0.0
538072,22423,faulty,-13,2010-12-09 14:10:00,0.0,,United Kingdom,-0.0
538074,21743,,-80,2010-12-09 14:11:00,0.0,,United Kingdom,-0.0
538090,20956,?,-723,2010-12-09 14:48:00,0.0,,United Kingdom,-0.0
538092,37467,,-177,2010-12-09 14:49:00,0.0,,United Kingdom,-0.0
538158,20892,,-32,2010-12-09 17:17:00,0.0,,United Kingdom,-0.0
538159,21324,,-18,2010-12-09 17:17:00,0.0,,United Kingdom,-0.0
538161,46000S,Dotcom sales,-100,2010-12-09 17:25:00,0.0,,United Kingdom,-0.0
538162,46000M,Dotcom sales,-100,2010-12-09 17:25:00,0.0,,United Kingdom,-0.0
538173,22353,,-28,2010-12-10 09:35:00,0.0,,United Kingdom,-0.0
538241,21431,,-21,2010-12-10 12:00:00,0.0,,United Kingdom,-0.0
538247,79067,,-145,2010-12-10 12:09:00,0.0,,United Kingdom,-0.0
538837,85135B,,-40,2010-12-14 13:10:00,0.0,,United Kingdom,-0.0
538906,21895,,-5,2010-12-15 10:31:00,0.0,,United Kingdom,-0.0
539980,35001W,,-36,2010-12-23 14:34:00,0.0,,United Kingdom,-0.0
539994,22830,,-1,2011-01-04 10:09:00,0.0,,United Kingdom,-0.0
539995,85064,,-12,2011-01-04 10:12:00,0.0,,United Kingdom,-0.0
539996,21784,,-10,2011-01-04 10:12:00,0.0,,United Kingdom,-0.0
539999,20892,,-1,2011-01-04 10:16:00,0.0,,United Kingdom,-0.0
540000,84499,,-9,2011-01-04 10:17:00,0.0,,United Kingdom,-0.0
540008,85230F,,-48,2011-01-04 11:10:00,0.0,,United Kingdom,-0.0
540009,22158,,-120,2011-01-04 11:10:00,0.0,,United Kingdom,-0.0
540010,22501,reverse 21/5/10 adjustment,-100,2011-01-04 11:13:00,0.0,,United Kingdom,-0.0
540012,22502,reverse 21/5/10 adjustment,-100,2011-01-04 11:14:00,0.0,,United Kingdom,-0.0
540100,22837,?,-106,2011-01-04 16:53:00,0.0,,United Kingdom,-0.0
540119,22865,,-60,2011-01-05 10:07:00,0.0,,United Kingdom,-0.0
540241,35957,,-939,2011-01-05 15:17:00,0.0,,United Kingdom,-0.0
540252,22198,,-100,2011-01-05 16:25:00,0.0,,United Kingdom,-0.0
540272,90096,,-54,2011-01-06 11:57:00,0.0,,United Kingdom,-0.0
540369,47591D,,-201,2011-01-06 16:20:00,0.0,,United Kingdom,-0.0
540549,21587,,-53,2011-01-10 09:07:00,0.0,,United Kingdom,-0.0
540558,21258,?,-29,2011-01-10 10:04:00,0.0,,United Kingdom,-0.0
540560,21589,,-14,2011-01-10 10:08:00,0.0,,United Kingdom,-0.0
540564,22617,"mouldy, thrown away.",-2600,2011-01-10 10:36:00,0.0,,United Kingdom,-0.0
540637,21275,,-5,2011-01-10 12:13:00,0.0,,United Kingdom,-0.0
540638,72038P,damages,-990,2011-01-10 12:14:00,0.0,,United Kingdom,-0.0
540650,85124C,,-8,2011-01-10 14:59:00,0.0,,United Kingdom,-0.0
540651,82599,?,-290,2011-01-10 15:00:00,0.0,,United Kingdom,-0.0
540678,21667,,-1,2011-01-10 16:21:00,0.0,,United Kingdom,-0.0
540679,21667,,-1,2011-01-10 16:21:00,0.0,,United Kingdom,-0.0
540683,84546,,-45,2011-01-10 17:00:00,0.0,,United Kingdom,-0.0
540684,35271S,,-13,2011-01-10 17:01:00,0.0,,United Kingdom,-0.0
540778,84029E,,-50,2011-01-11 11:15:00,0.0,,United Kingdom,-0.0
540978,84050,counted,-310,2011-01-12 15:04:00,0.0,,United Kingdom,-0.0
540987,17011A,,-61,2011-01-12 16:15:00,0.0,,United Kingdom,-0.0
541000,21632,,-41,2011-01-13 10:11:00,0.0,,United Kingdom,-0.0
541482,22837,,-35,2011-01-18 12:32:00,0.0,,United Kingdom,-0.0
541487,85118,,-35,2011-01-18 13:19:00,0.0,,United Kingdom,-0.0
541519,21429,,-15,2011-01-19 09:11:00,0.0,,United Kingdom,-0.0
541600,22866,,-64,2011-01-19 16:48:00,0.0,,United Kingdom,-0.0
541601,22632,,-84,2011-01-19 16:48:00,0.0,,United Kingdom,-0.0
541685,22351,Given away,-1400,2011-01-20 15:41:00,0.0,,United Kingdom,-0.0
541687,46000S,Dotcom,-300,2011-01-20 15:42:00,0.0,,United Kingdom,-0.0
541702,22451,,-30,2011-01-21 09:44:00,0.0,,United Kingdom,-0.0
541802,20854,,-80,2011-01-21 14:45:00,0.0,,United Kingdom,-0.0
541882,48185,?,-57,2011-01-24 10:54:00,0.0,,United Kingdom,-0.0
541967,84823,,-3,2011-01-24 13:35:00,0.0,,United Kingdom,-0.0
542225,85096,label mix up,-59,2011-01-26 13:10:00,0.0,,United Kingdom,-0.0
542361,85161,samples/damages,-20,2011-01-27 12:47:00,0.0,,United Kingdom,-0.0
542362,20699,,-16,2011-01-27 12:49:00,0.0,,United Kingdom,-0.0
542365,21897,,-22,2011-01-27 12:51:00,0.0,,United Kingdom,-0.0
542367,82583,,-30,2011-01-27 12:57:00,0.0,,United Kingdom,-0.0
542368,85188B,,-70,2011-01-27 12:59:00,0.0,,United Kingdom,-0.0
542379,35922,,-30,2011-01-27 13:58:00,0.0,,United Kingdom,-0.0
542380,84917,,-50,2011-01-27 13:59:00,0.0,,United Kingdom,-0.0
542391,84455,,-31,2011-01-27 14:54:00,0.0,,United Kingdom,-0.0
542392,84227,,-2,2011-01-27 14:56:00,0.0,,United Kingdom,-0.0
542396,22146,,-4,2011-01-27 15:12:00,0.0,,United Kingdom,-0.0
542414,84967A,,-2,2011-01-27 17:15:00,0.0,,United Kingdom,-0.0
542415,84967B,,-1,2011-01-27 17:15:00,0.0,,United Kingdom,-0.0
542417,84966B,,-11,2011-01-27 17:38:00,0.0,,United Kingdom,-0.0
542418,84966A,,-17,2011-01-27 17:39:00,0.0,,United Kingdom,-0.0
542518,22184,,-13,2011-01-28 12:17:00,0.0,,United Kingdom,-0.0
542529,DCGS0055,,-1,2011-01-28 13:08:00,0.0,,United Kingdom,-0.0
542531,DCGS0072,,-1,2011-01-28 13:08:00,0.0,,United Kingdom,-0.0
542532,DCGS0074,,-1,2011-01-28 13:09:00,0.0,,United Kingdom,-0.0
542544,17165D,,-10,2011-01-28 14:43:00,0.0,,United Kingdom,-0.0
542546,20734,,-1,2011-01-28 14:44:00,0.0,,United Kingdom,-0.0
542547,20864,,-1,2011-01-28 14:45:00,0.0,,United Kingdom,-0.0
542548,20892,,-1,2011-01-28 14:45:00,0.0,,United Kingdom,-0.0
542550,20910,,-1,2011-01-28 14:45:00,0.0,,United Kingdom,-0.0
542551,21282,,-1,2011-01-28 14:46:00,0.0,,United Kingdom,-0.0
542552,21645,,-1,2011-01-28 14:47:00,0.0,,United Kingdom,-0.0
542553,21805,,-1,2011-01-28 14:49:00,0.0,,United Kingdom,-0.0
542554,21836,,-1,2011-01-28 14:49:00,0.0,,United Kingdom,-0.0
542555,21841,,-1,2011-01-28 14:50:00,0.0,,United Kingdom,-0.0
542556,22143,,-1,2011-01-28 14:50:00,0.0,,United Kingdom,-0.0
542557,22765,,-1,2011-01-28 14:50:00,0.0,,United Kingdom,-0.0
542558,35644,,-1,2011-01-28 14:51:00,0.0,,United Kingdom,-0.0
542559,35991,,-1,2011-01-28 14:51:00,0.0,,United Kingdom,-0.0
542560,47579,,-1,2011-01-28 14:51:00,0.0,,United Kingdom,-0.0
542561,84424A,,-1,2011-01-28 14:52:00,0.0,,United Kingdom,-0.0
542562,84499,,-1,2011-01-28 14:52:00,0.0,,United Kingdom,-0.0
542563,84509F,,-1,2011-01-28 14:52:00,0.0,,United Kingdom,-0.0
542564,84526,,-1,2011-01-28 14:52:00,0.0,,United Kingdom,-0.0
542565,84664,,-1,2011-01-28 14:52:00,0.0,,United Kingdom,-0.0
542566,84964B,,-1,2011-01-28 14:53:00,0.0,,United Kingdom,-0.0
542567,84975,,-1,2011-01-28 14:53:00,0.0,,United Kingdom,-0.0
542569,85028L,,-1,2011-01-28 14:53:00,0.0,,United Kingdom,-0.0
542570,85028S,,-1,2011-01-28 14:53:00,0.0,,United Kingdom,-0.0
542571,85031C,,-1,2011-01-28 14:54:00,0.0,,United Kingdom,-0.0
542572,85064,,-1,2011-01-28 14:54:00,0.0,,United Kingdom,-0.0
542573,85110,,-1,2011-01-28 14:55:00,0.0,,United Kingdom,-0.0
542574,85119,,-1,2011-01-28 14:55:00,0.0,,United Kingdom,-0.0
542575,85126,,-1,2011-01-28 14:55:00,0.0,,United Kingdom,-0.0
542576,85179B,,-1,2011-01-28 14:56:00,0.0,,United Kingdom,-0.0
542577,85232B,,-1,2011-01-28 14:56:00,0.0,,United Kingdom,-0.0
542579,90000C,,-1,2011-01-28 14:57:00,0.0,,United Kingdom,-0.0
542580,90095,,-1,2011-01-28 14:58:00,0.0,,United Kingdom,-0.0
542581,90091,,-1,2011-01-28 14:58:00,0.0,,United Kingdom,-0.0
542582,DCGS0057,,-6,2011-01-28 15:01:00,0.0,,United Kingdom,-0.0
542861,47591B,?,-207,2011-02-01 11:47:00,0.0,,United Kingdom,-0.0
542879,22242,,-19,2011-02-01 12:52:00,0.0,,United Kingdom,-0.0
542882,22162,,-40,2011-02-01 12:55:00,0.0,,United Kingdom,-0.0
542883,21448,,-40,2011-02-01 13:07:00,0.0,,United Kingdom,-0.0
542884,84748,,-52,2011-02-01 13:08:00,0.0,,United Kingdom,-0.0
542885,84465,,-6,2011-02-01 13:08:00,0.0,,United Kingdom,-0.0
543034,85049F,,-130,2011-02-02 15:50:00,0.0,,United Kingdom,-0.0
543035,35004C,,-206,2011-02-02 15:51:00,0.0,,United Kingdom,-0.0
543194,21355,,-217,2011-02-04 12:25:00,0.0,,United Kingdom,-0.0
543257,84611B,thrown away,-1430,2011-02-04 16:06:00,0.0,,United Kingdom,-0.0
543259,84612B,thrown away,-162,2011-02-04 16:07:00,0.0,,United Kingdom,-0.0
543260,84613A,thrown away,-230,2011-02-04 16:07:00,0.0,,United Kingdom,-0.0
543261,84613C,,-173,2011-02-04 16:08:00,0.0,,United Kingdom,-0.0
543262,84614A,thrown away,-390,2011-02-04 16:08:00,0.0,,United Kingdom,-0.0
543265,84872A,,-4,2011-02-04 17:23:00,0.0,,United Kingdom,-0.0
543266,82095,,-5,2011-02-04 17:24:00,0.0,,United Kingdom,-0.0
543269,84638,,-18,2011-02-04 17:25:00,0.0,,United Kingdom,-0.0
543270,84631,,-19,2011-02-04 17:25:00,0.0,,United Kingdom,-0.0
543271,21087,,-6,2011-02-04 17:26:00,0.0,,United Kingdom,-0.0
543308,35969,,-3,2011-02-07 12:04:00,0.0,,United Kingdom,-0.0
543310,35954,,-234,2011-02-07 12:10:00,0.0,,United Kingdom,-0.0
543390,84880,,-5,2011-02-08 10:02:00,0.0,,United Kingdom,-0.0
543521,22769,,-6,2011-02-09 11:49:00,0.0,,United Kingdom,-0.0
543545,22627,,-11,2011-02-09 15:50:00,0.0,,United Kingdom,-0.0
543552,22847,,-10,2011-02-10 10:05:00,0.0,,United Kingdom,-0.0
543654,22525,,-57,2011-02-11 10:29:00,0.0,,United Kingdom,-0.0
543655,21717,,-42,2011-02-11 10:30:00,0.0,,United Kingdom,-0.0
543656,84801B,,-44,2011-02-11 10:30:00,0.0,,United Kingdom,-0.0
543783,20966,,-41,2011-02-11 16:45:00,0.0,,United Kingdom,-0.0
543827,84406B,incorrectly made-thrown away.,-64,2011-02-14 09:44:00,0.0,,United Kingdom,-0.0
544046,21785,,-140,2011-02-15 12:34:00,0.0,,United Kingdom,-0.0
544063,22837,,-9,2011-02-15 13:37:00,0.0,,United Kingdom,-0.0
544086,21785,,-7,2011-02-15 16:49:00,0.0,,United Kingdom,-0.0
544342,22633,,-53,2011-02-18 09:44:00,0.0,,United Kingdom,-0.0
544343,22867,,-99,2011-02-18 09:45:00,0.0,,United Kingdom,-0.0
544346,22114,,-21,2011-02-18 09:50:00,0.0,,United Kingdom,-0.0
544347,22114,,-4,2011-02-18 09:51:00,0.0,,United Kingdom,-0.0
544396,62094B,,-92,2011-02-18 12:16:00,0.0,,United Kingdom,-0.0
544410,84997C,?,-741,2011-02-18 13:54:00,0.0,,United Kingdom,-0.0
544554,22588,,-41,2011-02-21 12:12:00,0.0,,United Kingdom,-0.0
544579,21651,,-6,2011-02-21 14:05:00,0.0,,United Kingdom,-0.0
544649,21621,?,-400,2011-02-22 12:37:00,0.0,,United Kingdom,-0.0
544703,22202,,-114,2011-02-23 10:35:00,0.0,,United Kingdom,-0.0
544832,62096A,,-88,2011-02-24 10:05:00,0.0,,United Kingdom,-0.0
544834,90200C,,-33,2011-02-24 10:15:00,0.0,,United Kingdom,-0.0
545127,22024,,-50,2011-02-28 12:04:00,0.0,,United Kingdom,-0.0
545135,22028,,-30,2011-02-28 12:06:00,0.0,,United Kingdom,-0.0
545219,20738,,-36,2011-02-28 17:04:00,0.0,,United Kingdom,-0.0
545236,22797,damages,-15,2011-03-01 10:32:00,0.0,,United Kingdom,-0.0
545401,21769,showroom,-5,2011-03-02 12:03:00,0.0,,United Kingdom,-0.0
545402,22862,,-33,2011-03-02 12:07:00,0.0,,United Kingdom,-0.0
545546,84249A,check,-150,2011-03-03 15:03:00,0.0,,United Kingdom,-0.0
545547,85061W,,-391,2011-03-03 15:07:00,0.0,,United Kingdom,-0.0
545548,77101A,,-87,2011-03-03 15:08:00,0.0,,United Kingdom,-0.0
545549,15058B,,-61,2011-03-03 15:10:00,0.0,,United Kingdom,-0.0
545552,22021,,-20,2011-03-03 15:11:00,0.0,,United Kingdom,-0.0
545554,22988,,-70,2011-03-03 15:12:00,0.0,,United Kingdom,-0.0
545560,37464,,-2,2011-03-03 16:12:00,0.0,,United Kingdom,-0.0
545561,37379A,,-9,2011-03-03 16:12:00,0.0,,United Kingdom,-0.0
545562,20689,,-5,2011-03-03 16:12:00,0.0,,United Kingdom,-0.0
545563,20671,,-22,2011-03-03 16:13:00,0.0,,United Kingdom,-0.0
545564,85092,,-9,2011-03-03 16:13:00,0.0,,United Kingdom,-0.0
545565,47563B,,-10,2011-03-03 16:14:00,0.0,,United Kingdom,-0.0
545566,37477D,,-9,2011-03-03 16:14:00,0.0,,United Kingdom,-0.0
545567,37444B,,-3,2011-03-03 16:14:00,0.0,,United Kingdom,-0.0
545598,22080,,-278,2011-03-04 11:16:00,0.0,,United Kingdom,-0.0
545599,22272,,-140,2011-03-04 11:17:00,0.0,,United Kingdom,-0.0
545600,85160A,,-21,2011-03-04 11:45:00,0.0,,United Kingdom,-0.0
545857,20681,MIA,-154,2011-03-07 13:56:00,0.0,,United Kingdom,-0.0
545990,84598,check,-3000,2011-03-08 13:07:00,0.0,,United Kingdom,-0.0
546010,22423,damages,-19,2011-03-08 15:55:00,0.0,,United Kingdom,-0.0
546016,85172,Dotcom set,-675,2011-03-08 17:21:00,0.0,,United Kingdom,-0.0
546018,85172,wrongly sold as sets,-600,2011-03-08 17:23:00,0.0,,United Kingdom,-0.0
546020,85175,Amazon sold sets,-210,2011-03-08 17:27:00,0.0,,United Kingdom,-0.0
546021,85175,dotcom sold sets,-345,2011-03-08 17:27:00,0.0,,United Kingdom,-0.0
546023,85175,wrongly sold sets,-975,2011-03-08 17:29:00,0.0,,United Kingdom,-0.0
546024,85175,? sold as sets?,-1200,2011-03-08 17:31:00,0.0,,United Kingdom,-0.0
546025,85172,?sold as sets?,-600,2011-03-08 17:31:00,0.0,,United Kingdom,-0.0
546124,35610C,Thrown away.,-1121,2011-03-09 14:50:00,0.0,,United Kingdom,-0.0
546126,35611B,thrown away,-27,2011-03-09 14:52:00,0.0,,United Kingdom,-0.0
546129,35610B,thrown away,-541,2011-03-09 15:07:00,0.0,,United Kingdom,-0.0
546130,35610A,thrown away,-1277,2011-03-09 15:08:00,0.0,,United Kingdom,-0.0
546137,20893,damages/display,-197,2011-03-09 16:33:00,0.0,,United Kingdom,-0.0
546138,21815,?,-300,2011-03-09 16:34:00,0.0,,United Kingdom,-0.0
546140,21527,damages,-30,2011-03-09 16:35:00,0.0,,United Kingdom,-0.0
546142,40016,damaged stock,-1100,2011-03-09 16:37:00,0.0,,United Kingdom,-0.0
546145,21537,?,-80,2011-03-09 16:39:00,0.0,,United Kingdom,-0.0
546146,20752,,-40,2011-03-09 16:41:00,0.0,,United Kingdom,-0.0
546147,21320,broken,-63,2011-03-09 16:42:00,0.0,,United Kingdom,-0.0
546148,85049D,?,-100,2011-03-09 16:43:00,0.0,,United Kingdom,-0.0
546149,20866,?,-230,2011-03-09 17:02:00,0.0,,United Kingdom,-0.0
546150,21503,,-140,2011-03-09 17:03:00,0.0,,United Kingdom,-0.0
546151,21504,,-80,2011-03-09 17:04:00,0.0,,United Kingdom,-0.0
546152,72140F,throw away,-5368,2011-03-09 17:25:00,0.0,,United Kingdom,-0.0
546245,85185B,?,-259,2011-03-10 13:26:00,0.0,,United Kingdom,-0.0
546379,72225C,,-82,2011-03-11 12:21:00,0.0,,United Kingdom,-0.0
546407,22719,wrong barcode (22467),-178,2011-03-11 16:24:00,0.0,,United Kingdom,-0.0
546409,21833,damages,-110,2011-03-11 16:27:00,0.0,,United Kingdom,-0.0
546551,84563A,,-10,2011-03-14 17:33:00,0.0,,United Kingdom,-0.0
546661,22777,,-25,2011-03-15 14:33:00,0.0,,United Kingdom,-0.0
546672,85206A,,-77,2011-03-15 15:47:00,0.0,,United Kingdom,-0.0
546756,79067,,-5,2011-03-16 13:31:00,0.0,,United Kingdom,-0.0
547329,20681,,-1,2011-03-22 11:38:00,0.0,,United Kingdom,-0.0
547330,21894,,-40,2011-03-22 11:40:00,0.0,,United Kingdom,-0.0
547331,17013D,,-20,2011-03-22 11:41:00,0.0,,United Kingdom,-0.0
547332,21613,,-47,2011-03-22 11:42:00,0.0,,United Kingdom,-0.0
547333,22791,,-70,2011-03-22 11:43:00,0.0,,United Kingdom,-0.0
547335,20934,,-15,2011-03-22 11:44:00,0.0,,United Kingdom,-0.0
547336,21689,wrong barcode,-323,2011-03-22 11:45:00,0.0,,United Kingdom,-0.0
547337,85025C,barcode problem,-230,2011-03-22 11:47:00,0.0,,United Kingdom,-0.0
547338,22245,,-110,2011-03-22 11:49:00,0.0,,United Kingdom,-0.0
547339,84406B,?,-450,2011-03-22 11:51:00,0.0,,United Kingdom,-0.0
547341,85049D,,-20,2011-03-22 11:53:00,0.0,,United Kingdom,-0.0
547345,22838,,-10,2011-03-22 11:55:00,0.0,,United Kingdom,-0.0
547346,21000,,-41,2011-03-22 11:56:00,0.0,,United Kingdom,-0.0
547347,22470,,-6,2011-03-22 11:56:00,0.0,,United Kingdom,-0.0
547363,22459,?lost,-232,2011-03-22 12:33:00,0.0,,United Kingdom,-0.0
547369,21898,,-83,2011-03-22 13:24:00,0.0,,United Kingdom,-0.0
547403,85028L,,-2,2011-03-22 17:05:00,0.0,,United Kingdom,-0.0
547487,84596E,,-153,2011-03-23 11:29:00,0.0,,United Kingdom,-0.0
547505,22198,,-9,2011-03-23 13:36:00,0.0,,United Kingdom,-0.0
547506,21538,,-2,2011-03-23 13:38:00,0.0,,United Kingdom,-0.0
547559,72759,thrown away-can't sell.,-524,2011-03-23 17:27:00,0.0,,United Kingdom,-0.0
547560,72732,thrown away-can't sell,-2472,2011-03-23 17:28:00,0.0,,United Kingdom,-0.0
547593,20785,,-2,2011-03-24 11:18:00,0.0,,United Kingdom,-0.0
547595,82483,,-12,2011-03-24 11:20:00,0.0,,United Kingdom,-0.0
547596,84306,,-5,2011-03-24 11:20:00,0.0,,United Kingdom,-0.0
547597,17011F,,-18,2011-03-24 11:21:00,0.0,,United Kingdom,-0.0
547598,21332,,-25,2011-03-24 11:24:00,0.0,,United Kingdom,-0.0
547599,21361,,-10,2011-03-24 11:24:00,0.0,,United Kingdom,-0.0
547606,22173,,-22,2011-03-24 11:26:00,0.0,,United Kingdom,-0.0
547611,84631,,-9,2011-03-24 11:26:00,0.0,,United Kingdom,-0.0
547618,21547,,-12,2011-03-24 11:28:00,0.0,,United Kingdom,-0.0
547646,84849D,,-80,2011-03-24 11:42:00,0.0,,United Kingdom,-0.0
547699,21143,,-32,2011-03-24 16:38:00,0.0,,United Kingdom,-0.0
547700,21147,,-105,2011-03-24 16:39:00,0.0,,United Kingdom,-0.0
547701,84559D,,-7,2011-03-24 16:42:00,0.0,,United Kingdom,-0.0
547916,22459,,-36,2011-03-28 12:46:00,0.0,,United Kingdom,-0.0
547950,35241,damages?,-40,2011-03-28 15:11:00,0.0,,United Kingdom,-0.0
547989,21621,re dotcom quick fix.,-100,2011-03-29 09:36:00,0.0,,United Kingdom,-0.0
547994,21228,,-7,2011-03-29 10:18:00,0.0,,United Kingdom,-0.0
547995,35823P,,-12,2011-03-29 10:20:00,0.0,,United Kingdom,-0.0
547996,84534B,,-10,2011-03-29 10:22:00,0.0,,United Kingdom,-0.0
547997,20857,,-34,2011-03-29 10:22:00,0.0,,United Kingdom,-0.0
547998,20854,,-2,2011-03-29 10:23:00,0.0,,United Kingdom,-0.0
547999,20860,,-7,2011-03-29 10:24:00,0.0,,United Kingdom,-0.0
548000,85224,,-7,2011-03-29 10:24:00,0.0,,United Kingdom,-0.0
548002,21051,,-25,2011-03-29 10:27:00,0.0,,United Kingdom,-0.0
548008,21190,,-80,2011-03-29 10:52:00,0.0,,United Kingdom,-0.0
548069,20713,,-22,2011-03-29 12:10:00,0.0,,United Kingdom,-0.0
548095,20850,,-3,2011-03-29 12:17:00,0.0,,United Kingdom,-0.0
548098,21283,,-15,2011-03-29 12:17:00,0.0,,United Kingdom,-0.0
548104,84854,,-3,2011-03-29 12:18:00,0.0,,United Kingdom,-0.0
548110,21911,,-27,2011-03-29 12:20:00,0.0,,United Kingdom,-0.0
548149,72821,,-2,2011-03-29 12:36:00,0.0,,United Kingdom,-0.0
548173,85067,,-3,2011-03-29 14:17:00,0.0,,United Kingdom,-0.0
548175,46115B,,-2,2011-03-29 14:19:00,0.0,,United Kingdom,-0.0
548206,22469,,-53,2011-03-29 16:56:00,0.0,,United Kingdom,-0.0
548209,21621,,-30,2011-03-29 17:21:00,0.0,,United Kingdom,-0.0
548227,90099,,-19,2011-03-30 10:24:00,0.0,,United Kingdom,-0.0
548269,22036,,-45,2011-03-30 11:35:00,0.0,,United Kingdom,-0.0
548328,21527,,-21,2011-03-30 13:11:00,0.0,,United Kingdom,-0.0
548339,21827,,-42,2011-03-30 14:08:00,0.0,,United Kingdom,-0.0
548365,79172D,,-7,2011-03-30 15:49:00,0.0,,United Kingdom,-0.0
548366,84678,,-33,2011-03-30 15:50:00,0.0,,United Kingdom,-0.0
548369,84683,,-6,2011-03-30 16:00:00,0.0,,United Kingdom,-0.0
548376,22533,,-80,2011-03-30 16:39:00,0.0,,United Kingdom,-0.0
548377,85016,,-46,2011-03-30 16:40:00,0.0,,United Kingdom,-0.0
548378,22052,,-75,2011-03-30 16:41:00,0.0,,United Kingdom,-0.0
548380,22127,Dotcom sold in 6's,-60,2011-03-30 16:44:00,0.0,,United Kingdom,-0.0
548381,22127,sold in set?,-690,2011-03-30 16:45:00,0.0,,United Kingdom,-0.0
